1.5	35.4	35	7.3	280.6
3	39	35	7.8	280
2.1	20	56	7.5	277
10	20	35	7	277
2.7	24	37	8.57	274.34
2	40	38	7.3	273
2	40	38	7.24	273
1	49.6	35	7.6	273
1.5	40	35	7.6	270.4
2	20	35	7.4	270
2	18	35	7.32	270
1.7	20	37	7.085	270
2.3	30	37	6.85	268.45
1.7	30	37	6.95	265.5
2	16	37	7	265
2	40	35	7.175	264.4
2	40	38	7.35	262
2.3	30	35	7.9	260
1.2	20	56	7.4	260
2	40	38	7.4	257
1.1	30	37	7.05	255
2.4	50	37	7.475	251
2.67	10	37	7.9	251
2	20	35	7.5	250
2	20	37	7.1	246.318
2.85	10	37	7.7	245
1.9	20	55	7.3	243
2	39	35	7.3	240
5.2	40	37	7.4	240
2.7	25	37	6.95	239.4
2.35	40	35	6.95	235
2	24	37	7.4	234
4	26	38	7.18	233
2.2	10	37	7.955	232
3	20	35	7.955	230
2	39	35	7.4	230
2.5	39	37	7.4	229
2	20	35	7.4	229
2.2	10	37	7.846666667	229
4	26	38	7.3	222
2	20	35	7.3	220
1	16	37	7	220
1.5	30	53	8.04	218
2	20	49	7.7	217
1.6	20	37	7.7	215
1.2	10	37	7.4	215
1.6	20	49	7.71	214
1.2	20	37	7.815	214
2.2	10	37	7.92	212
1.8	40	35	7.96	211.2
2.2	10	37	8	211
7.2	16.7	37	8	210
2	39	35	7.4	210
1.7	20	35	7.76	210
1.2	10	37	7.61	210
2	28	35	7.46	210
3.4	20	37	6.85	209
3.2	24	37	8.36	208.74
1.3	33	38	8.36	208
1.5	40	35	7.4	207.5
2.2	10	37	8.56	202
2	20	35	7.4	200
4	30	35	7.8	200
0.8	30	34	7.4	200
1	49.8	35	6.8	198
0.7	16	37	8	197
3	15	33	8	197
4	18	37	7.4	194
1.8	30	25	7	192
4	20	35	7	190
5.5	40	37	7.4	190
0.5	99.6	35	7	186.6
2.6	30	37	7.7	185
3	30	35	7.7	181
2	20	35	7.4	180
7.2	16.7	37	7.3	180
1.8	30	36	7.3	180
2	25	35	7.3	179.9757
2	26	37	7.4	178
2	20	37	7.3	177.8042
3	20	35	7.3	174
2.5	20	37	7.1	173.9025
0.5	104.3	35	7.4	172.9
1.5	28	38	7.4	168
2.5	20	37	7.4	167.356
		37	7.4	167
2	20	37	7.4	166.725
4	20	37	7.05	165.4
1.5	33.2	35	7.05	162.4
3	25	35	7.4	162.208
0.8	20	37	6.9	160
0.8	25	36	6.9	158
1.8	30	25	7.1	154
3.7	24	37	8.32	150.87
1.8	30	25	7.2	149
2	20	35	7.5	149
4	20	37	7.13	149
0.8	18	37	7.13	145
2	25	35	7.4	144.716
1.1	30	34	7.3	144
1.6	20	37	7.15	141
1.8	30	25	7	141
4.2	20	37	6.85	140.4
2	20	35	6.85	140
2.3	40	35	7.4	139.5
18	20	35	4.3	139
1.9	22	38	5.6	134
2.2	22.6	35	7.05	133.5
3	25	35	7.4	131.0125
5.7	40	37	6.9	130
1.8	30	25	6.9	129
1.8	30	25	7.1	128
1.8	27.7	35	8.32	124.6
2.5	20	37	7.3	124.3964
1.8	30	25	7.2	124
1.8	30	25	7.1	122
5	27	33	4.3	119
3	20	37	5.75	117.7936
4	30	37	7.2	112
1.5	30	37	4.3	112
1	25	37	5.9	112
0.9	30	34	7.5	112
1.8	30	25	7.3	108
1.6	35	37	7.2	107
1.8	30	25	4.3	107
3.8	20	55	5.6	105.91
1.8	30	25	6.9	104
1.8	30	25	7.1	98
12	20	35	4	96
1	25	37	6.1	94.2
1.8	30	25	6.9	93
6	25	37	4	90
5.6	15	37	4.3	85
1.8	30	25	5.85	79
3	20	37	7.4	78.1138
3.2	22	37	4	78
1.3	15	35	5.5	76
2.4	17	37	5.5	75
1	25	37	6	69.9
3	20	37	7.6	61.9674
